ds,yhat,yhat_lower,yhat_upper
2025-04-15 10:00:00,1.7648829692418757,0.7085268854653204,2.702945479131339
2025-04-15 11:00:00,1.839468663130432,0.7755695194256503,2.880791026330365
2025-04-15 12:00:00,1.7412425379873449,0.8425929588832592,2.720914472617927
2025-04-15 13:00:00,1.7138560120106732,0.7068889830797589,2.6615526665276383
2025-04-15 14:00:00,1.6768823386296123,0.6645338561962097,2.716072256133474
2025-04-15 15:00:00,1.6952196042447671,0.686407233539841,2.6426440806189575
2025-04-15 16:00:00,1.6748066449347925,0.7622055633503875,2.624092709685905
2025-04-15 17:00:00,1.6587017168030362,0.5916618584564247,2.6975848355885628
2025-04-15 18:00:00,1.6520930461821568,0.6395970585149754,2.6930561882440966
2025-04-15 19:00:00,1.6145703987827669,0.6214505078286551,2.570999623300371
2025-04-15 20:00:00,1.634521479273508,0.6410315950491194,2.612289556723014
2025-04-15 21:00:00,1.5457673498094622,0.5841442193272586,2.5222774722100882
2025-04-15 22:00:00,1.4804220192037336,0.5330244850626565,2.3795113524739677
2025-04-15 23:00:00,1.5413685975406117,0.5912710618384366,2.549593098200311
